sigla_uf,area_ha,categoria,ano,Municipio,nome,geocodigo
MT,39.71025880133,não autorizada,2016,Nova Bandeirantes,Nova Bandeirantes,5106158
MT,14.37420783461,não autorizada,2016,Juína,Juína,5105150
MT,459.14392289418,não autorizada,2016,Juína,Juína,5105150
MT,92.43990007213,não autorizada,2016,Juína,Juína,5105150
MT,126.34985196846,não autorizada,2016,Apiacás,Apiacás,5100805
MT,109.39066260582,não autorizada,2016,Paranaíta,Paranaíta,5106299
MT,68.797734785,não autorizada,2016,Apiacás,Apiacás,5100805
MT,35.73963655087,não autorizada,2016,Apiacás,Apiacás,5100805
MT,37.26960290162,não autorizada,2016,Apiacás,Apiacás,5100805
MT,171.39521560203,não autorizada,2016,Apiacás,Apiacás,5100805
MT,37.65572203051,não autorizada,2016,Apiacás,Apiacás,5100805
MT,105.98230088209,não autorizada,2016,Nova Bandeirantes,Nova Bandeirantes,5106158
MT,27.68042142976,não autorizada,2016,Paranaíta,Paranaíta,5106299
MT,46.04804367697,não autorizada,2016,Paranaíta,Paranaíta,5106299
MT,40.19778465268,não autorizada,2016,Juara,Juara,5105101
MT,45.75839885176,não autorizada,2016,Juara,Juara,5105101
MT,10.51963420819,não autorizada,2016,Juara,Juara,5105101
MT,341.3762321525,não autorizada,2016,Juara,Juara,5105101
MT,21.46800268353,não autorizada,2016,Juara,Juara,5105101
MT,193.57968747104,não autorizada,2016,Juara,Juara,5105101
MT,524.78767532776,não autorizada,2016,Juara,Juara,5105101
MT,248.76562473316,não autorizada,2016,Juara,Juara,5105101
MT,1119.42144789377,não autorizada,2016,Juara,Juara,5105101
MT,21.37099342482,não autorizada,2016,Juara,Juara,5105101
MT,128.66776870018,não autorizada,2016,Tabaporã,Tabaporã,5107941
MT,53.33559228953,não autorizada,2016,Juara,Juara,5105101
MT,63.9305088252,não autorizada,2016,Juara,Juara,5105101
MT,10.7233527333,não autorizada,2016,Juara,Juara,5105101
MT,23.73150605948,não autorizada,2016,Juara,Juara,5105101
MT,91.42358809611,não autorizada,2016,Alta Floresta,Alta Floresta,5100250
MT,70.8235381565,não autorizada,2016,Juara,Juara,5105101
MT,43.43766232664,não autorizada,2016,Juara,Juara,5105101
MT,73.41736177061,não autorizada,2016,Juara,Juara,5105101
MT,102.15772134498,não autorizada,2016,Juara,Juara,5105101
MT,63.90667572815,não autorizada,2016,Juara,Juara,5105101
MT,222.38475963749,não autorizada,2016,Juara,Juara,5105101
MT,47.7779192719,não autorizada,2016,Juara,Juara,5105101
MT,38.09068871476,não autorizada,2016,Juara,Juara,5105101
MT,24.51405714017,não autorizada,2016,Juara,Juara,5105101
MT,215.56696108418,não autorizada,2016,Nova Maringá,Nova Maringá,5108907
MT,505.87639334287,não autorizada,2016,Nova Maringá,Juara,5105101
MT,505.87639334287,não autorizada,2016,Nova Maringá,Nova Maringá,5108907
MT,143.61024726732,não autorizada,2016,Nova Maringá,Nova Maringá,5108907
MT,575.33308544051,não autorizada,2016,Juara,Juara,5105101
MT,575.33308544051,não autorizada,2016,Juara,Nova Maringá,5108907
MT,43.96501450531,não autorizada,2016,Juara,Juara,5105101
MT,21.37341112712,não autorizada,2016,Juara,Juara,5105101
MT,21.37341112712,não autorizada,2016,Juara,Nova Maringá,5108907
MT,1110.0635001853,não autorizada,2016,Nova Maringá,Nova Maringá,5108907
MT,55.86152846767,não autorizada,2016,Juína,Juína,5105150
MT,77.25148281453,não autorizada,2016,Juara,Juara,5105101
MT,88.90686700548,não autorizada,2016,Brasnorte,Brasnorte,5101902
MT,45.28963254911,não autorizada,2016,Juína,Juína,5105150
MT,160.52609066531,não autorizada,2016,Juína,Juína,5105150
MT,140.94177569329,não autorizada,2016,Porto dos Gaúchos,Porto dos Gaúchos,5106802
MT,189.85501148368,não autorizada,2016,Porto dos Gaúchos,Porto dos Gaúchos,5106802
MT,46.21266978823,não autorizada,2016,Juara,Juara,5105101
MT,2211.46503536987,não autorizada,2016,Itanhangá,Itanhangá,5104542
